name,modelDate,manufacturer,model,color,imageUrl,brand,description,mileageFromOdometer,sku,vehicleIdentificationNumber,offers,itemListElement
2019 Cadillac XT4,2019,Cadillac,XT4,White,//cdnblob.fastly.carvana.io/2002278788/post-large/normalized/zoomcrop/2002278788-edc-02.jpg,Cadillac,"Used 2019 Cadillac XT4 Premium Luxury with 21386 miles - $33,590",21386,2002278788,1GYFZCR49KF136662,"{'@type': 'Offer', 'price': 33590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2680338'}",
2020 MAZDA CX-5,2020,MAZDA,CX-5,Red,//cdnblob.fastly.carvana.io/2002301356/post-large/normalized/zoomcrop/2002301356-edc-02.jpg,MAZDA,"Used 2020 MAZDA CX-5 Touring with 27890 miles - $27,990",27890,2002301356,JM3KFBCM9L0807372,"{'@type': 'Offer', 'price': 27990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2697153'}",
2022 Toyota GR86,2022,Toyota,GR86,Black,//cdnblob.fastly.carvana.io/2002312044/post-large/normalized/zoomcrop/2002312044-edc-02.jpg,Toyota,"Used 2022 Toyota GR86 base with 5297 miles - $35,990",5297,2002312044,JF1ZNBB17N9756279,"{'@type': 'Offer', 'price': 35990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2698604'}",
2021 BMW 3 Series,2021,BMW,3 Series,Black,//cdnblob.fastly.carvana.io/2002261352/post-large/normalized/zoomcrop/2002261352-edc-02.jpg,BMW,"Used 2021 BMW 3 Series 330e with 17142 miles - $38,990",17142,2002261352,3MW5P7J02M8B69518,"{'@type': 'Offer', 'price': 38990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2669364'}",
2022 Toyota Tundra CrewMax,2022,Toyota,Tundra CrewMax,Black,//cdnblob.fastly.carvana.io/2002337251/post-large/normalized/zoomcrop/2002337251-edc-02.jpg,Toyota,"Used 2022 Toyota Tundra CrewMax SR 5 1/2 ft with 3025 miles - $43,590",3025,2002337251,5TFKB5AB9NX017958,"{'@type': 'Offer', 'price': 43590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2716430'}",
2019 Lexus NX,2019,Lexus,NX,Brown,//cdnblob.fastly.carvana.io/2002221839/post-large/normalized/zoomcrop/2002221839-edc-02.jpg,Lexus,"Used 2019 Lexus NX 300 with 26298 miles - $30,990",26298,2002221839,JTJYARBZ2K2127952,"{'@type': 'Offer', 'price': 30990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2645567'}",
2022 Ford Explorer,2022,Ford,Explorer,Silver,//cdnblob.fastly.carvana.io/2002299858/post-large/2002299858-edc-02-search.jpg,Ford,"Used 2022 Ford Explorer XLT with 29170 miles - $35,995",29170,2002299858,1FMSK8DHXNGA37469,"{'@type': 'Offer', 'price': 35995, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2699573'}",
2018 Jeep Wrangler Unlimited,2018,Jeep,Wrangler Unlimited,Gray,//cdnblob.fastly.carvana.io/2002246575/post-large/normalized/zoomcrop/2002246575-edc-02.jpg,Jeep,"Used 2018 Jeep Wrangler Unlimited All New Sport with 27084 miles - $33,590",27084,2002246575,1C4HJXDG0JW170213,"{'@type': 'Offer', 'price': 33590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2662216'}",
2022 BMW 5 Series,2022,BMW,5 Series,White,//cdnblob.fastly.carvana.io/2002334698/post-large/normalized/zoomcrop/2002334698-edc-02.jpg,BMW,"Used 2022 BMW 5 Series 530i with 12924 miles - $46,990",12924,2002334698,WBA53BH09NCK12640,"{'@type': 'Offer', 'price': 46990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2711183'}",
2022 Chevrolet Silverado 2500 HD Crew Cab,2022,Chevrolet,Silverado 2500 HD Crew Cab,Blue,//cdnblob.fastly.carvana.io/2002268817/post-large/normalized/zoomcrop/2002268817-edc-02.jpg,Chevrolet,"Used 2022 Chevrolet Silverado 2500 HD Crew Cab Custom 6 1/2 ft with 17495 miles - $53,590",17495,2002268817,2GC4YME79N1241851,"{'@type': 'Offer', 'price': 53590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2681895'}",
